Date,Description,Amount
26-01-2025,Stripe Transfer - Subscription Revenue,415.88
28-01-2025,Stripe Transfer - Subscription Revenue,401.28
28-01-2025,Gusto Payroll - Month End,-10000
31-01-2025,Internet Service - Comcast,-110.31
01-02-2025,Office Rent Payment,-3500
02-02-2025,Uber Rides,-21.89
03-02-2025,AWS Monthly Bill,-672.67
04-02-2025,Stripe Transfer - Subscription Revenue,1088.29
05-02-2025,Stripe Transfer - Subscription Revenue,1085.25
06-02-2025,Stripe Transfer - Subscription Revenue,808.62
06-02-2025,Stripe Transfer - Client Payment,7611.48
07-02-2025,Stripe Transfer - Subscription Revenue,1043.67
07-02-2025,Meta Ads Campaign,-1116.2
10-02-2025,Linear App,-48
12-02-2025,Stripe Transfer - Subscription Revenue,1035.42
12-02-2025,Google Ads Campaign,-2189.84
12-02-2025,Starbucks,-244.59
14-02-2025,Stripe Transfer - Subscription Revenue,656.45
14-02-2025,Stripe Transfer - Subscription Revenue,1203.93
15-02-2025,Gusto Payroll - Mid-month,-10000
15-02-2025,Vercel Pro Plan,-40
16-02-2025,Stripe Transfer - Subscription Revenue,584.12
16-02-2025,GitHub Enterprise,-44
17-02-2025,Stripe Transfer - Subscription Revenue,520.65
17-02-2025,Stripe Transfer - Subscription Revenue,1202.31
17-02-2025,Office Supplies - Amazon,-176.34
18-02-2025,Stripe Transfer - Subscription Revenue,970.17
18-02-2025,Notion Team Plan,-96
20-02-2025,Stripe Transfer - Client Payment,6710.83
22-02-2025,Slack Business+,-150
23-02-2025,Stripe Transfer - Subscription Revenue,1197.86
23-02-2025,Stripe Transfer - Subscription Revenue,1137.23
23-02-2025,Stripe Transfer - Subscription Revenue,934.96
24-02-2025,Stripe Transfer - Subscription Revenue,479.69
25-02-2025,Stripe Transfer - Subscription Revenue,774.4
26-02-2025,Stripe Transfer - Subscription Revenue,825.09
27-02-2025,Stripe Transfer - Subscription Revenue,508.69
27-02-2025,Office Supplies - Amazon,-36.67
28-02-2025,Stripe Transfer - Subscription Revenue,842.86
28-02-2025,Stripe Transfer - Subscription Revenue,1050.92
28-02-2025,Gusto Payroll - Month End,-10000
01-03-2025,Office Rent Payment,-3500
02-03-2025,Stripe Transfer - Subscription Revenue,535.22
02-03-2025,Internet Service - Comcast,-172.25
03-03-2025,Stripe Transfer - Subscription Revenue,410.53
03-03-2025,AWS Monthly Bill,-776.57
03-03-2025,Team Lunch - DoorDash,-33.57
03-03-2025,Office Supplies - Amazon,-112.69
05-03-2025,Stripe Transfer - Subscription Revenue,311.39
05-03-2025,Office Supplies - Amazon,-96.3
07-03-2025,Stripe Transfer - Subscription Revenue,442.93
07-03-2025,Stripe Transfer - Subscription Revenue,466.72
07-03-2025,Meta Ads Campaign,-1319.47
08-03-2025,Stripe Transfer - Subscription Revenue,667.54
10-03-2025,Stripe Transfer - Subscription Revenue,829.53
10-03-2025,Stripe Transfer - Client Payment,7794.48
10-03-2025,Linear App,-48
11-03-2025,Stripe Transfer - Subscription Revenue,573.93
11-03-2025,Stripe Transfer - Subscription Revenue,666.97
11-03-2025,Stripe Transfer - Subscription Revenue,635.7
12-03-2025,Stripe Transfer - Subscription Revenue,655.87
12-03-2025,Google Ads Campaign,-2257.24
14-03-2025,Stripe Transfer - Subscription Revenue,820.01
15-03-2025,Stripe Transfer - Subscription Revenue,696.71
15-03-2025,Stripe Transfer - Subscription Revenue,735.51
15-03-2025,Stripe Transfer - Subscription Revenue,700.22
15-03-2025,Gusto Payroll - Mid-month,-10000
15-03-2025,Vercel Pro Plan,-40
16-03-2025,Stripe Transfer - Subscription Revenue,603
16-03-2025,Stripe Transfer - Subscription Revenue,868.8
16-03-2025,GitHub Enterprise,-44
17-03-2025,Stripe Transfer - Subscription Revenue,757.09
18-03-2025,Stripe Transfer - Subscription Revenue,795.49
18-03-2025,Stripe Transfer - Subscription Revenue,456.77
18-03-2025,Stripe Transfer - Subscription Revenue,789.68
18-03-2025,Stripe Transfer - Client Payment,8529.92
18-03-2025,Notion Team Plan,-96
19-03-2025,Stripe Transfer - Subscription Revenue,786.84
20-03-2025,Stripe Transfer - Subscription Revenue,496.85
22-03-2025,Stripe Transfer - Subscription Revenue,600.89
22-03-2025,Stripe Transfer - Subscription Revenue,506.81
22-03-2025,Slack Business+,-150
22-03-2025,Uber Rides,-26.91
23-03-2025,Stripe Transfer - Subscription Revenue,559.71
24-03-2025,Stripe Transfer - Subscription Revenue,301.65
25-03-2025,Stripe Transfer - Subscription Revenue,869.77
28-03-2025,Gusto Payroll - Month End,-10000
30-03-2025,Stripe Transfer - Subscription Revenue,479.84
31-03-2025,Stripe Transfer - Subscription Revenue,398.47
31-03-2025,Stripe Transfer - Subscription Revenue,783.11
01-04-2025,Stripe Transfer - Subscription Revenue,829.21
01-04-2025,Stripe Transfer - Subscription Revenue,461.99
01-04-2025,Office Rent Payment,-3500
03-04-2025,Stripe Transfer - Subscription Revenue,784.3
03-04-2025,Stripe Transfer - Subscription Revenue,305.75
03-04-2025,AWS Monthly Bill,-802.02
04-04-2025,Stripe Transfer - Subscription Revenue,716.79
06-04-2025,Stripe Transfer - Subscription Revenue,471.14
06-04-2025,Stripe Transfer - Subscription Revenue,701.56
06-04-2025,Stripe Transfer - Subscription Revenue,732.64
07-04-2025,Meta Ads Campaign,-1419.5
08-04-2025,Stripe Transfer - Subscription Revenue,324.65
08-04-2025,Stripe Transfer - Subscription Revenue,831.65
08-04-2025,Stripe Transfer - Subscription Revenue,310.16
09-04-2025,Stripe Transfer - Subscription Revenue,790.81
09-04-2025,Stripe Transfer - Subscription Revenue,732.38
10-04-2025,Stripe Transfer - Subscription Revenue,405.24
10-04-2025,Linear App,-48
10-04-2025,WeWork Day Pass,-122.84
11-04-2025,Stripe Transfer - Subscription Revenue,596.57
11-04-2025,Stripe Transfer - Client Payment,5773.12
12-04-2025,Stripe Transfer - Subscription Revenue,738.06
12-04-2025,Stripe Transfer - Subscription Revenue,752.86
12-04-2025,Google Ads Campaign,-2637.07
13-04-2025,Stripe Transfer - Subscription Revenue,596.04
13-04-2025,Stripe Transfer - Subscription Revenue,783.72
14-04-2025,Stripe Transfer - Subscription Revenue,560.81
15-04-2025,Gusto Payroll - Mid-month,-10000
15-04-2025,Vercel Pro Plan,-40
16-04-2025,GitHub Enterprise,-44
17-04-2025,Stripe Transfer - Subscription Revenue,792.26
17-04-2025,Stripe Transfer - Subscription Revenue,339.48
18-04-2025,Stripe Transfer - Subscription Revenue,368.16
18-04-2025,Notion Team Plan,-96
18-04-2025,Team Lunch - DoorDash,-205.37
18-04-2025,Team Lunch - DoorDash,-101.69
19-04-2025,Stripe Transfer - Subscription Revenue,709.04
20-04-2025,Stripe Transfer - Subscription Revenue,734.98
20-04-2025,Stripe Transfer - Subscription Revenue,714.88
20-04-2025,WeWork Day Pass,-232.27
21-04-2025,Stripe Transfer - Client Payment,5032.82
22-04-2025,Stripe Transfer - Client Payment,8356.24
22-04-2025,Slack Business+,-150
24-04-2025,Stripe Transfer - Subscription Revenue,554.9
24-04-2025,Stripe Transfer - Subscription Revenue,463.13
25-04-2025,Stripe Transfer - Subscription Revenue,363.43
25-04-2025,Stripe Transfer - Subscription Revenue,592.81
27-04-2025,Stripe Transfer - Subscription Revenue,753.02
27-04-2025,Stripe Transfer - Subscription Revenue,431.92
27-04-2025,Stripe Transfer - Subscription Revenue,783.91
28-04-2025,Stripe Transfer - Subscription Revenue,591.7
28-04-2025,Stripe Transfer - Subscription Revenue,581.27
28-04-2025,Gusto Payroll - Month End,-10000
01-05-2025,Stripe Transfer - Subscription Revenue,499.87
01-05-2025,Office Rent Payment,-3500
02-05-2025,Starbucks,-202.89
03-05-2025,Stripe Transfer - Subscription Revenue,892.23
03-05-2025,Stripe Transfer - Subscription Revenue,582.02
03-05-2025,AWS Monthly Bill,-896.6
04-05-2025,Stripe Transfer - Subscription Revenue,1006.37
04-05-2025,Team Lunch - DoorDash,-192.79
05-05-2025,Stripe Transfer - Subscription Revenue,731.39
05-05-2025,Stripe Transfer - Subscription Revenue,734.48
06-05-2025,Stripe Transfer - Subscription Revenue,443.65
06-05-2025,Stripe Transfer - Subscription Revenue,1006.92
07-05-2025,Stripe Transfer - Subscription Revenue,825.8
07-05-2025,Meta Ads Campaign,-2060.89
08-05-2025,Stripe Transfer - Subscription Revenue,498.97
09-05-2025,Stripe Transfer - Subscription Revenue,484.33
10-05-2025,Stripe Transfer - Subscription Revenue,1080.83
10-05-2025,Linear App,-48
11-05-2025,Stripe Transfer - Subscription Revenue,490.44
12-05-2025,Stripe Transfer - Subscription Revenue,542.11
12-05-2025,Google Ads Campaign,-2436.02
13-05-2025,Stripe Transfer - Subscription Revenue,957.37
13-05-2025,Office Supplies - Amazon,-67.21
14-05-2025,Stripe Transfer - Subscription Revenue,1088.57
14-05-2025,Stripe Transfer - Subscription Revenue,1014.65
14-05-2025,Team Lunch - DoorDash,-229.29
15-05-2025,Stripe Transfer - Subscription Revenue,1061.58
15-05-2025,Gusto Payroll - Mid-month,-10000
15-05-2025,Vercel Pro Plan,-40
16-05-2025,Stripe Transfer - Subscription Revenue,949.41
16-05-2025,Stripe Transfer - Subscription Revenue,1127.45
16-05-2025,GitHub Enterprise,-44
18-05-2025,Stripe Transfer - Subscription Revenue,566.61
18-05-2025,Notion Team Plan,-96
18-05-2025,WeWork Day Pass,-242.18
20-05-2025,Stripe Transfer - Subscription Revenue,614.73
22-05-2025,Stripe Transfer - Subscription Revenue,690
22-05-2025,Slack Business+,-150
23-05-2025,Stripe Transfer - Subscription Revenue,519.26
24-05-2025,Stripe Transfer - Subscription Revenue,643.61
25-05-2025,Stripe Transfer - Subscription Revenue,617.9
27-05-2025,Stripe Transfer - Subscription Revenue,848.65
28-05-2025,Stripe Transfer - Client Payment,8356.71
28-05-2025,Gusto Payroll - Month End,-10000
29-05-2025,Stripe Transfer - Subscription Revenue,750.04
29-05-2025,Team Lunch - DoorDash,-187.05
31-05-2025,Stripe Transfer - Subscription Revenue,837.3
31-05-2025,Starbucks,-23.11
01-06-2025,Stripe Transfer - Subscription Revenue,1054.66
01-06-2025,Office Rent Payment,-3500
03-06-2025,Stripe Transfer - Subscription Revenue,691.26
03-06-2025,Stripe Transfer - Subscription Revenue,739.22
03-06-2025,AWS Monthly Bill,-1026.2
04-06-2025,Stripe Transfer - Subscription Revenue,384.44
04-06-2025,Stripe Transfer - Subscription Revenue,583.58
05-06-2025,Stripe Transfer - Subscription Revenue,942.19
05-06-2025,Stripe Transfer - Subscription Revenue,989.54
05-06-2025,Stripe Transfer - Client Payment,10940.74
06-06-2025,Stripe Transfer - Subscription Revenue,395.2
06-06-2025,Starbucks,-189.44
07-06-2025,Stripe Transfer - Subscription Revenue,963.22
07-06-2025,Stripe Transfer - Subscription Revenue,782.76
07-06-2025,Stripe Transfer - Subscription Revenue,722.22
07-06-2025,Stripe Transfer - Subscription Revenue,1025.12
07-06-2025,Stripe Transfer - Subscription Revenue,987.59
07-06-2025,Meta Ads Campaign,-2205.58
08-06-2025,Stripe Transfer - Subscription Revenue,648.71
08-06-2025,Stripe Transfer - Subscription Revenue,518.68
09-06-2025,Stripe Transfer - Subscription Revenue,859.4
09-06-2025,Stripe Transfer - Subscription Revenue,923.84
10-06-2025,Stripe Transfer - Subscription Revenue,963.58
10-06-2025,Stripe Transfer - Subscription Revenue,810.06
10-06-2025,Stripe Transfer - Client Payment,10432.51
10-06-2025,Linear App,-48
10-06-2025,Internet Service - Comcast,-42.8
12-06-2025,Stripe Transfer - Subscription Revenue,401.19
12-06-2025,Google Ads Campaign,-3881.82
13-06-2025,Stripe Transfer - Subscription Revenue,495.52
13-06-2025,Stripe Transfer - Subscription Revenue,711.95
15-06-2025,Gusto Payroll - Mid-month,-14000
15-06-2025,Vercel Pro Plan,-40
16-06-2025,GitHub Enterprise,-44
18-06-2025,Stripe Transfer - Subscription Revenue,940.82
18-06-2025,Stripe Transfer - Subscription Revenue,601.28
18-06-2025,Notion Team Plan,-96
20-06-2025,Stripe Transfer - Subscription Revenue,831.23
21-06-2025,Stripe Transfer - Subscription Revenue,969.24
22-06-2025,Slack Business+,-150
23-06-2025,Stripe Transfer - Subscription Revenue,831.99
23-06-2025,Stripe Transfer - Subscription Revenue,1087.62
23-06-2025,Stripe Transfer - Subscription Revenue,440.37
23-06-2025,Stripe Transfer - Client Payment,7433.32
23-06-2025,Office Supplies - Amazon,-142.72
24-06-2025,Stripe Transfer - Subscription Revenue,700.04
25-06-2025,Internet Service - Comcast,-38.9
26-06-2025,Stripe Transfer - Subscription Revenue,911.34
26-06-2025,WeWork Day Pass,-187.15
28-06-2025,Stripe Transfer - Subscription Revenue,617.14
28-06-2025,Gusto Payroll - Month End,-14000
29-06-2025,Stripe Transfer - Subscription Revenue,744
29-06-2025,Internet Service - Comcast,-158.26
01-07-2025,Stripe Transfer - Subscription Revenue,760.35
01-07-2025,Office Rent Payment,-3500
02-07-2025,Stripe Transfer - Subscription Revenue,1129.97
02-07-2025,Team Lunch - DoorDash,-162.15
03-07-2025,AWS Monthly Bill,-1060.41
06-07-2025,Stripe Transfer - Subscription Revenue,661.58
06-07-2025,Stripe Transfer - Subscription Revenue,877.08
07-07-2025,Meta Ads Campaign,-2095.34
08-07-2025,Stripe Transfer - Subscription Revenue,1178.14
09-07-2025,Stripe Transfer - Subscription Revenue,759.08
10-07-2025,Stripe Transfer - Subscription Revenue,1327.44
10-07-2025,Stripe Transfer - Subscription Revenue,881.99
10-07-2025,Linear App,-48
10-07-2025,Team Lunch - DoorDash,-207.25
11-07-2025,Stripe Transfer - Subscription Revenue,1292.48
11-07-2025,WeWork Day Pass,-148.72
12-07-2025,Stripe Transfer - Subscription Revenue,1378.11
12-07-2025,Google Ads Campaign,-4043.93
12-07-2025,WeWork Day Pass,-145.84
12-07-2025,Office Supplies - Amazon,-102.24
13-07-2025,Stripe Transfer - Subscription Revenue,761.95
13-07-2025,Stripe Transfer - Subscription Revenue,1225.72
15-07-2025,Gusto Payroll - Mid-month,-14000
15-07-2025,Vercel Pro Plan,-40
16-07-2025,Stripe Transfer - Subscription Revenue,870.38
16-07-2025,Stripe Transfer - Subscription Revenue,1428.9
16-07-2025,GitHub Enterprise,-44
16-07-2025,Office Supplies - Amazon,-125.89
17-07-2025,Starbucks,-22.21
18-07-2025,Notion Team Plan,-96
19-07-2025,Stripe Transfer - Subscription Revenue,1022.29
19-07-2025,Stripe Transfer - Subscription Revenue,915.8
21-07-2025,Stripe Transfer - Subscription Revenue,861.58
21-07-2025,Internet Service - Comcast,-225.08
22-07-2025,Stripe Transfer - Subscription Revenue,1349.58
22-07-2025,Stripe Transfer - Subscription Revenue,1039.45
22-07-2025,Slack Business+,-150
23-07-2025,Stripe Transfer - Subscription Revenue,1429.43
24-07-2025,Stripe Transfer - Subscription Revenue,594.7
24-07-2025,Stripe Transfer - Client Payment,11457.61
25-07-2025,Stripe Transfer - Subscription Revenue,723.22
27-07-2025,Stripe Transfer - Subscription Revenue,1207.2
28-07-2025,Gusto Payroll - Month End,-14000
29-07-2025,Stripe Transfer - Subscription Revenue,1325.56
31-07-2025,Stripe Transfer - Subscription Revenue,902.79
31-07-2025,Stripe Transfer - Subscription Revenue,869.26
31-07-2025,Stripe Transfer - Subscription Revenue,1223.06
31-07-2025,Stripe Transfer - Client Payment,12920.92
01-08-2025,Stripe Transfer - Subscription Revenue,1210.5
01-08-2025,Office Rent Payment,-3500
02-08-2025,Stripe Transfer - Subscription Revenue,788.01
02-08-2025,Stripe Transfer - Subscription Revenue,736
02-08-2025,Stripe Transfer - Subscription Revenue,855.18
03-08-2025,Stripe Transfer - Subscription Revenue,1517.41
03-08-2025,AWS Monthly Bill,-1140.78
03-08-2025,WeWork Day Pass,-61.51
04-08-2025,Stripe Transfer - Subscription Revenue,1487.84
04-08-2025,Internet Service - Comcast,-211.68
05-08-2025,Team Lunch - DoorDash,-25.32
06-08-2025,Stripe Transfer - Subscription Revenue,1573.22
07-08-2025,Stripe Transfer - Subscription Revenue,1482
07-08-2025,Meta Ads Campaign,-2223.42
09-08-2025,Stripe Transfer - Client Payment,6962.55
10-08-2025,Stripe Transfer - Subscription Revenue,1314.97
10-08-2025,Linear App,-48
11-08-2025,Stripe Transfer - Subscription Revenue,950.87
12-08-2025,Google Ads Campaign,-3455.33
14-08-2025,Stripe Transfer - Subscription Revenue,1222.72
14-08-2025,Stripe Transfer - Client Payment,13591.07
14-08-2025,Uber Rides,-97.08
15-08-2025,Stripe Transfer - Subscription Revenue,940.99
15-08-2025,Gusto Payroll - Mid-month,-14000
15-08-2025,Vercel Pro Plan,-40
16-08-2025,GitHub Enterprise,-44
17-08-2025,Stripe Transfer - Subscription Revenue,1455.28
18-08-2025,Stripe Transfer - Subscription Revenue,635.49
18-08-2025,Notion Team Plan,-96
19-08-2025,Stripe Transfer - Subscription Revenue,1540.07
20-08-2025,Stripe Transfer - Subscription Revenue,929.02
21-08-2025,Stripe Transfer - Subscription Revenue,808.21
22-08-2025,Stripe Transfer - Subscription Revenue,654.68
22-08-2025,Stripe Transfer - Subscription Revenue,836.03
22-08-2025,Slack Business+,-150
24-08-2025,Stripe Transfer - Subscription Revenue,1318.85
24-08-2025,Stripe Transfer - Subscription Revenue,1123.43
25-08-2025,Stripe Transfer - Subscription Revenue,549.82
27-08-2025,Stripe Transfer - Subscription Revenue,1179.56
27-08-2025,Stripe Transfer - Client Payment,6955.77
28-08-2025,Gusto Payroll - Month End,-14000
29-08-2025,Stripe Transfer - Subscription Revenue,1075.82
31-08-2025,Stripe Transfer - Subscription Revenue,1595.55
31-08-2025,Stripe Transfer - Subscription Revenue,1085.66
31-08-2025,Stripe Transfer - Subscription Revenue,616.87
01-09-2025,Stripe Transfer - Subscription Revenue,1545.31
01-09-2025,Stripe Transfer - Subscription Revenue,588.6
01-09-2025,Office Rent Payment,-3500
02-09-2025,Stripe Transfer - Subscription Revenue,682.29
03-09-2025,AWS Monthly Bill,-1253.66
04-09-2025,Stripe Transfer - Subscription Revenue,845.6
04-09-2025,Stripe Transfer - Subscription Revenue,1210.65
04-09-2025,Stripe Transfer - Subscription Revenue,1531.86
05-09-2025,Stripe Transfer - Subscription Revenue,1672.58
05-09-2025,Stripe Transfer - Subscription Revenue,957.82
05-09-2025,Team Lunch - DoorDash,-18.89
06-09-2025,Stripe Transfer - Subscription Revenue,1579.03
07-09-2025,Meta Ads Campaign,-1639.55
08-09-2025,Stripe Transfer - Subscription Revenue,1461.37
08-09-2025,Starbucks,-228.5
09-09-2025,Stripe Transfer - Subscription Revenue,1433.39
09-09-2025,Stripe Transfer - Subscription Revenue,826.9
09-09-2025,Stripe Transfer - Client Payment,9455.77
10-09-2025,Stripe Transfer - Subscription Revenue,1597.18
10-09-2025,Linear App,-48
12-09-2025,Stripe Transfer - Subscription Revenue,1661.93
12-09-2025,Google Ads Campaign,-2372.99
14-09-2025,Stripe Transfer - Subscription Revenue,1274.62
14-09-2025,Uber Rides,-78.5
15-09-2025,Stripe Transfer - Subscription Revenue,627.37
15-09-2025,Gusto Payroll - Mid-month,-14000
15-09-2025,Vercel Pro Plan,-40
16-09-2025,Stripe Transfer - Subscription Revenue,1084.59
16-09-2025,Stripe Transfer - Subscription Revenue,719.1
16-09-2025,Stripe Transfer - Subscription Revenue,623.66
16-09-2025,Stripe Transfer - Subscription Revenue,1095.54
16-09-2025,GitHub Enterprise,-44
17-09-2025,Stripe Transfer - Subscription Revenue,976.07
18-09-2025,Stripe Transfer - Subscription Revenue,1174.25
18-09-2025,Notion Team Plan,-96
18-09-2025,Starbucks,-189.23
21-09-2025,Stripe Transfer - Subscription Revenue,989.82
22-09-2025,Slack Business+,-150
26-09-2025,Stripe Transfer - Subscription Revenue,1445.89
27-09-2025,Stripe Transfer - Subscription Revenue,1078.86
28-09-2025,Stripe Transfer - Subscription Revenue,967.93
28-09-2025,Gusto Payroll - Month End,-14000
29-09-2025,Stripe Transfer - Subscription Revenue,1041.62
29-09-2025,Team Lunch - DoorDash,-166.12
30-09-2025,Stripe Transfer - Subscription Revenue,1208.09
01-10-2025,Office Rent Payment,-3500
02-10-2025,Stripe Transfer - Subscription Revenue,1831.74
02-10-2025,Stripe Transfer - Subscription Revenue,1566.84
02-10-2025,Stripe Transfer - Subscription Revenue,1616.68
03-10-2025,Stripe Transfer - Subscription Revenue,1779.87
03-10-2025,Stripe Transfer - Subscription Revenue,1082.23
03-10-2025,Stripe Transfer - Client Payment,9628.9
03-10-2025,AWS Monthly Bill,-1276.59
04-10-2025,Stripe Transfer - Subscription Revenue,669.38
05-10-2025,Stripe Transfer - Subscription Revenue,705.29
06-10-2025,Stripe Transfer - Subscription Revenue,1621.05
06-10-2025,Uber Rides,-238.79
07-10-2025,Meta Ads Campaign,-2406.02
09-10-2025,Stripe Transfer - Subscription Revenue,747.01
10-10-2025,Linear App,-48
11-10-2025,Stripe Transfer - Subscription Revenue,1518.85
11-10-2025,Stripe Transfer - Subscription Revenue,1078.83
11-10-2025,Stripe Transfer - Subscription Revenue,1338.79
12-10-2025,Google Ads Campaign,-4370.19
13-10-2025,Stripe Transfer - Client Payment,14599.28
14-10-2025,Team Lunch - DoorDash,-61.73
14-10-2025,WeWork Day Pass,-74.25
15-10-2025,Gusto Payroll - Mid-month,-17000
15-10-2025,Vercel Pro Plan,-40
16-10-2025,GitHub Enterprise,-44
16-10-2025,WeWork Day Pass,-176.51
16-10-2025,Team Lunch - DoorDash,-34.37
17-10-2025,Stripe Transfer - Subscription Revenue,1693.17
18-10-2025,Stripe Transfer - Subscription Revenue,1194.26
18-10-2025,Notion Team Plan,-96
19-10-2025,Stripe Transfer - Subscription Revenue,1459.94
21-10-2025,Stripe Transfer - Subscription Revenue,1378.33
21-10-2025,Stripe Transfer - Subscription Revenue,1415.85
21-10-2025,Stripe Transfer - Subscription Revenue,1627.6
22-10-2025,Stripe Transfer - Subscription Revenue,1751.66
22-10-2025,Slack Business+,-150
25-10-2025,Stripe Transfer - Subscription Revenue,1472.12
25-10-2025,Stripe Transfer - Subscription Revenue,1216.61
27-10-2025,Stripe Transfer - Subscription Revenue,1162.28
27-10-2025,Internet Service - Comcast,-139.05
27-10-2025,Uber Rides,-151.22
28-10-2025,Stripe Transfer - Subscription Revenue,1628.29
28-10-2025,Stripe Transfer - Subscription Revenue,1281.58
28-10-2025,Gusto Payroll - Month End,-17000
31-10-2025,Stripe Transfer - Subscription Revenue,781.34
31-10-2025,Stripe Transfer - Subscription Revenue,1498.09
31-10-2025,Stripe Transfer - Subscription Revenue,791.44
01-11-2025,Office Rent Payment,-3500
02-11-2025,Stripe Transfer - Client Payment,14717.95
02-11-2025,Internet Service - Comcast,-244.87
03-11-2025,AWS Monthly Bill,-1334.5
04-11-2025,Stripe Transfer - Subscription Revenue,703.75
05-11-2025,Stripe Transfer - Subscription Revenue,934.68
05-11-2025,Internet Service - Comcast,-117.19
06-11-2025,Stripe Transfer - Subscription Revenue,1467.73
06-11-2025,Stripe Transfer - Subscription Revenue,1947.87
07-11-2025,Stripe Transfer - Subscription Revenue,758.1
07-11-2025,Stripe Transfer - Subscription Revenue,1063.95
07-11-2025,Meta Ads Campaign,-1869.69
08-11-2025,Stripe Transfer - Subscription Revenue,963.19
08-11-2025,Stripe Transfer - Subscription Revenue,1027.56
09-11-2025,Stripe Transfer - Client Payment,11960.51
10-11-2025,Linear App,-48
11-11-2025,Stripe Transfer - Subscription Revenue,1283.63
12-11-2025,Google Ads Campaign,-4548.79
14-11-2025,Internet Service - Comcast,-160.32
15-11-2025,Gusto Payroll - Mid-month,-17000
15-11-2025,Vercel Pro Plan,-40
16-11-2025,GitHub Enterprise,-44
17-11-2025,Stripe Transfer - Subscription Revenue,1518.61
17-11-2025,Stripe Transfer - Subscription Revenue,1602.11
17-11-2025,Stripe Transfer - Subscription Revenue,818.75
17-11-2025,Stripe Transfer - Subscription Revenue,1380.6
18-11-2025,Stripe Transfer - Subscription Revenue,1453.08
18-11-2025,Notion Team Plan,-96
19-11-2025,Stripe Transfer - Subscription Revenue,1725.26
19-11-2025,Stripe Transfer - Subscription Revenue,1716.42
20-11-2025,Stripe Transfer - Subscription Revenue,2078.56
21-11-2025,Stripe Transfer - Subscription Revenue,935.94
22-11-2025,Slack Business+,-150
24-11-2025,Stripe Transfer - Subscription Revenue,1593.68
24-11-2025,Stripe Transfer - Subscription Revenue,1582.1
25-11-2025,Stripe Transfer - Subscription Revenue,1114.49
25-11-2025,Stripe Transfer - Subscription Revenue,1088.26
27-11-2025,Stripe Transfer - Subscription Revenue,1279.71
27-11-2025,Stripe Transfer - Subscription Revenue,1431.81
28-11-2025,Stripe Transfer - Subscription Revenue,996.5
28-11-2025,Stripe Transfer - Subscription Revenue,1958.25
28-11-2025,Stripe Transfer - Subscription Revenue,1700.27
28-11-2025,Gusto Payroll - Month End,-17000
29-11-2025,Uber Rides,-186.83
30-11-2025,Stripe Transfer - Subscription Revenue,866.5
01-12-2025,Office Rent Payment,-3500
01-12-2025,Internet Service - Comcast,-39.67
02-12-2025,Stripe Transfer - Subscription Revenue,1860.04
03-12-2025,Stripe Transfer - Subscription Revenue,1169.02
03-12-2025,Stripe Transfer - Subscription Revenue,1950.67
03-12-2025,Stripe Transfer - Subscription Revenue,1477.89
03-12-2025,AWS Monthly Bill,-1472.99
03-12-2025,WeWork Day Pass,-73.61
04-12-2025,Stripe Transfer - Subscription Revenue,1064.28
